"location","total","missing","missing_percent"
"Alabama",9925,2492,0.2510831234256927
"Alaska",6086,6086,1.0
"Arizona",7794,5253,0.6739799846035411
"Arkansas",9218,9218,1.0
"California",26160,11943,0.4565366972477064
"Colorado",7854,3935,0.5010185892538833
"Connecticut",2426,1430,0.5894476504534213
"Delaware",1298,126,0.0970724191063174
"District of Columbia",17,9,0.5294117647058824
"Florida",16177,4697,0.29035049762007786
"Georgia",10683,3275,0.3065618272020968
"Hawaii",2597,1554,0.5983827493261455
"Idaho",3871,1139,0.29423921467321107
"Illinois",23265,3581,0.15392220073071136
"Indiana",11612,3849,0.3314674474681364
"Iowa",17158,3784,0.22053852430353188
"Kansas",11428,2649,0.23179908995449772
"Kentucky",9137,3715,0.40658859581919665
"Louisiana",8087,4722,0.5839000865586744
"Maine",2273,619,0.27232732072151344
"Maryland",9046,7753,0.8570638956444837
"Massachusetts",4245,1816,0.42779740871613664
"Michigan",11936,2916,0.2443029490616622
"Minnesota",15423,5931,0.38455553394281267
"Mississippi",6164,1797,0.29153147306943544
"Missouri",17588,4276,0.24312030930179668
"Montana",6210,2914,0.46924315619967794
"Nebraska",9881,3087,0.3124177714806194
"Nevada",2251,1361,0.6046201688138605
"New Hampshire",1638,1113,0.6794871794871795
"New Jersey",9739,2445,0.25105246945271587
"New Mexico",7608,5318,0.6990010515247108
"New York",20389,15997,0.7845897297562411
"North Carolina",12624,3018,0.2390684410646388
"North Dakota",6832,6832,1.0
"Ohio",20695,4666,0.22546508818555205
"Oklahoma",12630,3691,0.2922406967537609
"Oregon",6452,1733,0.268598884066956
"Pennsylvania",30539,7604,0.24899309080192542
"Rhode Island",630,422,0.6698412698412698
"South Carolina",6752,4439,0.6574348341232228
"South Dakota",6652,6652,1.0
"Tennessee",7328,2472,0.3373362445414847
"Texas",30050,11636,0.3872212978369384
"Utah",5613,1901,0.33867806876892925
"Vermont",2057,1032,0.5017015070491007
"Virginia",10123,3938,0.38901511409661166
"Washington",11068,4831,0.4364835561980484
"West Virginia",6851,3060,0.4466501240694789
"Wisconsin",13219,2573,0.19464407292533475
"Wyoming",3573,2235,0.6255247691015953
